hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Martha's Vineyard Hospital,2026-03-27,3.0.0,Martha's Vineyard Hospital,1 Hospital Rd Oak Bluffs MA 02557-1477,2042,1194866210,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"ACETABULAR LINER 32MM SZ D HOODED HIGHCROSS UHMWPE MPACT","SUP-ITM-10299138","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","2190.00","1642.50","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","1543.51","70.48","","1691.82","1691.82","1691.82","1 through 10","1543.51","1543.51","percent of total billed charges",""
"ACETABULAR LINER 36MM SZ E 4MM OFFSET HIGHCROSS UHMWPE MPACT","SUP-ITM-10299164","CDM","C1776","HCPCS","0278","RC","","","","both","","","4786.00","3589.50","CIGNA [1006]","HB MVH CIGNA HMO / PPO","4460.55","93.2","","2088.58","2088.58","2088.58","1 through 10","2823.74","4460.55","percent of total billed charges",""
"ACETABULAR LINER 36MM SZ E 4MM OFFSET HIGHCROSS UHMWPE MPACT","SUP-ITM-10299164","CDM","C1776","HCPCS","0278","RC","","","","both","","","4786.00","3589.50","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL PPO","3488.99","72.9","","5093.05","5093.05","5093.05","1 through 10","2823.74","4460.55","percent of total billed charges",""
"ACETABULAR LINER 36MM SZ E 4MM OFFSET HIGHCROSS UHMWPE MPACT","SUP-ITM-10299164","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","4786.00","3589.50","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","3373.17","70.48","","1780.73","1650.87","1780.73","1 through 10","3373.17","3373.17","percent of total billed charges",""
"ACETABULAR LINER 36MM SZ E 4MM OFFSET HIGHCROSS UHMWPE MPACT","SUP-ITM-10299164","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","4786.00","3589.50","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","3373.17","70.48","","1691.82","1691.82","1691.82","1 through 10","3373.17","3373.17","percent of total billed charges",""
"ACETABULAR SHELL 48MM 3 HOLE TITANIUM STANDARD","SUP-ITM-10028412","CDM","C1776","HCPCS","0278","RC","","","","both","","","1953.00","1464.75","CIGNA [1006]","HB MVH CIGNA HMO / PPO","1820.20","93.2","","2088.58","2088.58","2088.58","1 through 10","1152.27","1820.2","percent of total billed charges",""
"ACETABULAR SHELL 48MM 3 HOLE TITANIUM STANDARD","SUP-ITM-10028412","CDM","C1776","HCPCS","0278","RC","","","","both","","","1953.00","1464.75","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL PPO","1423.74","72.9","","5093.05","5093.05","5093.05","1 through 10","1152.27","1820.2","percent of total billed charges",""
"ACETABULAR SHELL 48MM 3 HOLE TITANIUM STANDARD","SUP-ITM-10028412","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","1953.00","1464.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","1376.47","70.48","","1780.73","1650.87","1780.73","1 through 10","1376.47","1376.47","percent of total billed charges",""
"ACETABULAR SHELL 48MM 3 HOLE TITANIUM STANDARD","SUP-ITM-10028412","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","1953.00","1464.75","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","1376.47","70.48","","1691.82","1691.82","1691.82","1 through 10","1376.47","1376.47","percent of total billed charges",""
"ACETABULAR SHELL 54MM PINNACLE GRIPTION POROUS COATING 100 SERIES","SUP-ITM-10118724","CDM","C1776","HCPCS","0278","RC","","","","both","","","2700.00","2025.00","CIGNA [1006]","HB MVH CIGNA HMO / PPO","2516.40","93.2","","2088.58","2088.58","2088.58","1 through 10","1593","2516.4","percent of total billed charges",""
"ACETABULAR SHELL 54MM PINNACLE GRIPTION POROUS COATING 100 SERIES","SUP-ITM-10118724","CDM","C1776","HCPCS","0278","RC","","","","both","","","2700.00","2025.00","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL PPO","1968.30","72.9","","5093.05","5093.05","5093.05","1 through 10","1593","2516.4","percent of total billed charges",""
"ACETABULAR SHELL 54MM PINNACLE GRIPTION POROUS COATING 100 SERIES","SUP-ITM-10118724","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","2700.00","2025.00","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","1902.96","70.48","","1780.73","1650.87","1780.73","1 through 10","1902.96","1902.96","percent of total billed charges",""
"ACETABULAR SHELL 54MM PINNACLE GRIPTION POROUS COATING 100 SERIES","SUP-ITM-10118724","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","2700.00","2025.00","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS PPO","1902.96","70.48","","1691.82","1691.82","1691.82","1 through 10","1902.96","1902.96","percent of total billed charges",""
"ACETABULAR SHELL 58MM PINNACLE SECTOR GRIPTION COATING","SUP-ITM-10077063","CDM","C1776","HCPCS","0278","RC","","","","both","","","2700.00","2025.00","CIGNA [1006]","HB MVH CIGNA HMO / PPO","2516.40","93.2","","2088.58","2088.58","2088.58","1 through 10","1593","2516.4","percent of total billed charges",""
"ACETABULAR SHELL 58MM PINNACLE SECTOR GRIPTION COATING","SUP-ITM-10077063","CDM","C1776","HCPCS","0278","RC","","","","both","","","2700.00","2025.00","MGB HEALTH PLAN [150001]","HB MVH MGBHP COMMERCIAL PPO","1968.30","72.9","","5093.05","5093.05","5093.05","1 through 10","1593","2516.4","percent of total billed charges",""
"ACETABULAR SHELL 58MM PINNACLE SECTOR GRIPTION COATING","SUP-ITM-10077063","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","2700.00","2025.00","BLUE CROSS BLUE SHIELD [110001]","HB MVH BLUE CROSS HMO","1902.96","70.48","","1780.73","1650.87","1780.73","1 through 10","1902.96","1902.96","percent of total billed charges",""
