hospital_name,last_updated_on,version,location_name,hospital_address,type_2_npi,license_number|MD,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,,,,,,,,,,,,,,,,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Bcbs,Medicare Managed Care Plan,,92.3,,2199.63,1731.56,4596.47,13,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Cigna,Medicare Managed Care Plan,,92.3,,1714.29,1320.81,4428.04,74,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Cigna,All Commercial Plans,,100,,2052.78,1294.71,4628.64,227,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Ehp,Employee,,100,,1860.37,1230.99,3776.24,158,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Ehp,Medicare Managed Care Plan,,92.3,,1985.26,1347.66,4144.36,110,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Humana,Military Tricare Government,,100,,2076.57,1940.36,3734.45,1 through 10,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Humana,Medicare Managed Care Plan,,92.3,,1775.95,1331.78,3681.12,95,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Priority Partners,Medicaid Managed Care Plan,,92.3,,1875.7,1337.6,3408.71,795,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicaid Managed Care Plan,,92.3,,1826.31,1163.62,4062.25,175,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,Medicare Managed Care Plan,,92.3,,1898.3,1277.57,4014.86,221,percent of total billed charges,,,
Level 5 Type A ED Visits,5025,APC,,,,,facility,outpatient,,,,,,Unitedhealthcare,All Commercial Plans,,100,,1804.32,569.79,4084.97,160,percent of total billed charges,,,
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Aetna,All Commercial Plans,,100,,441.83,113.97,1572.67,1 through 10,percent of total billed charges,,,
Level 1 Skin Procedures,5051,APC,,,,,facility,outpatient,,,,,,Aetna,Medicare Managed Care Plan,,92.3,,130.63,130.63,130.63,1 through 10,percent of total billed charges,,,
