hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Brigham and Women's Faulkner Hospital,2026-03-27,3.0.0,Brigham and Women's Faulkner Hospital,1153 Centre St Boston MA 02130-3446,2048,1578677811,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","INTERNATIONAL COMMERCIAL [140001]","HB CH ONE TEAM HEALTH INTERNATIONAL","1739.06","53","","939.37","939.37","5593.65","1 through 10","1458.52","3281.25","percent of total billed charges",""
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","MGB HEALTH PLAN [150001]","HB BWF MGBHP COMMERCIAL GIC","2789.06","85","","2323.25","1864.50","2882.25","16","1458.52","3281.25","percent of total billed charges",""
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","MGB HEALTH PLAN [150001]","HB BWF MGBHP COMMERCIAL HMO","3281.25","100","","2909.44","1772.40","10952.08","45","1458.52","3281.25","percent of total billed charges",""
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","MGB HEALTH PLAN [150001]","HB BWF MGBHP COMMERCIAL PPO","3281.25","100","","2323.25","2323.25","2323.25","1 through 10","1458.52","3281.25","percent of total billed charges",""
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","MGB HEALTH PLAN [150001]","HB BWF MGBHP EMPLOYEE PPO","3281.25","100","","2882.25","1772.40","10169.17","187","1458.52","3281.25","percent of total billed charges",""
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","PHCS MULTIPLAN [1022]","HB CH CLARITEV (PRIMARY PPO)","2395.31","73","","1659.41","1659.41","1659.41","1 through 10","1458.52","3281.25","percent of total billed charges",""
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","both","","","3281.25","2460.94","WELLPOINT [1015]","HB CH WELLPOINT","2556.42","77.91","","2050.91","1468.48","2902.83","52","1458.52","3281.25","percent of total billed charges",""
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","3281.25","2460.94","CIGNA [1006]","HB CH CIGNA HMO / PPO","1945.78","59.3","","1548.60","1092.60","3613.79","82","1640.63","2574.14","percent of total billed charges",""
"ACETABULAR AUGMENT 10MM SIZE 50 ZIMMER TRABECULAR METAL 22","SUP-ITM-10019435","CDM","C1776","HCPCS","0278","RC","","","","outpatient","","","3281.25","2460.94","UNITED HEALTHCARE [1016]","HB CH UNITED HMO / PPO / INDEMNITY","2574.14","78.45","","2085.51","998.68","6202.11","56","1640.63","2574.14","percent of total billed charges",""
"ACETABULAR AUGMENT 10X50 52MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118696","CDM","C1776","HCPCS","0278","RC","","","","both","","","3750.00","2812.50","AETNA [1001]","HB CH AETNA HMO / PPO","2186.25","58.3","","1634.24","1004.95","1718.99","42","1666.88","3750","percent of total billed charges",""
"ACETABULAR AUGMENT 10X50 52MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118696","CDM","C1776","HCPCS","0278","RC","","","","both","","","3750.00","2812.50","HEALTH NEW ENGLAND [1034]","HB CH CLARITEV (PRIMARY PPO)","2737.50","73","","2123.89","1900.92","2123.89","1 through 10","1666.88","3750","percent of total billed charges",""
"ACETABULAR AUGMENT 10X50 52MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118696","CDM","C1776","HCPCS","0278","RC","","","","both","","","3750.00","2812.50","INTERNATIONAL COMMERCIAL [140001]","HB CH AETNA HMO / PPO","2186.25","58.3","","3729.00","1254.19","3729.00","1 through 10","1666.88","3750","percent of total billed charges",""
"ACETABULAR AUGMENT 10X50 52MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118696","CDM","C1776","HCPCS","0278","RC","","","","both","","","3750.00","2812.50","INTERNATIONAL COMMERCIAL [140001]","HB CH ONE TEAM HEALTH INTERNATIONAL","1987.50","53","","939.37","939.37","5593.65","1 through 10","1666.88","3750","percent of total billed charges",""
"ACETABULAR AUGMENT 10X50 52MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118696","CDM","C1776","HCPCS","0278","RC","","","","both","","","3750.00","2812.50","MGB HEALTH PLAN [150001]","HB BWF MGBHP COMMERCIAL GIC","3187.50","85","","2323.25","1864.50","2882.25","16","1666.88","3750","percent of total billed charges",""
"ACETABULAR AUGMENT 10X50 52MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118696","CDM","C1776","HCPCS","0278","RC","","","","both","","","3750.00","2812.50","MGB HEALTH PLAN [150001]","HB BWF MGBHP COMMERCIAL HMO","3750.00","100","","2909.44","1772.40","10952.08","45","1666.88","3750","percent of total billed charges",""
"ACETABULAR AUGMENT 10X50 52MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118696","CDM","C1776","HCPCS","0278","RC","","","","both","","","3750.00","2812.50","MGB HEALTH PLAN [150001]","HB BWF MGBHP COMMERCIAL PPO","3750.00","100","","2323.25","2323.25","2323.25","1 through 10","1666.88","3750","percent of total billed charges",""
"ACETABULAR AUGMENT 10X50 52MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118696","CDM","C1776","HCPCS","0278","RC","","","","both","","","3750.00","2812.50","MGB HEALTH PLAN [150001]","HB BWF MGBHP EMPLOYEE PPO","3750.00","100","","2882.25","1772.40","10169.17","187","1666.88","3750","percent of total billed charges",""
"ACETABULAR AUGMENT 10X50 52MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118696","CDM","C1776","HCPCS","0278","RC","","","","both","","","3750.00","2812.50","PHCS MULTIPLAN [1022]","HB CH CLARITEV (PRIMARY PPO)","2737.50","73","","1659.41","1659.41","1659.41","1 through 10","1666.88","3750","percent of total billed charges",""
"ACETABULAR AUGMENT 10X50 52MM GRIPTION TF REVISION TI TRUEBOND LOCKING SLOT 21","SUP-ITM-10118696","CDM","C1776","HCPCS","0278","RC","","","","both","","","3750.00","2812.50","WELLPOINT [1015]","HB CH WELLPOINT","2921.63","77.91","","2050.91","1468.48","2902.83","52","1666.88","3750","percent of total billed charges",""
