hospital_name,last_updated_on,version,location_name,hospital_address,license_number|MA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name
Massachusetts Eye and Ear,2026-03-27,3.0.0,Massachusetts Eye and Ear,243 Charles St Boston MA 02114,2167,1639101751,true,Daniel Morash
"description","code|1","code|1|type","code|2","code|2|type","code|3","code|3|type","code|4","code|4|type","modifiers","setting","drug_unit_of_measurement","drug_type_of_measurement","standard_charge|gross","standard_charge|discounted_cash","payer_name","plan_name","standard_charge|negotiated_dollar","standard_charge|negotiated_percentage","standard_charge|negotiated_algorithm","median_amount","10th_percentile","90th_percentile","count","standard_charge|min","standard_charge|max","standard_charge|methodology","additional_generic_notes"
"ABUTMENT TITANIUM 6MM 4 IMPLANT COCHLEAR BIA300 XSEC BAHA FAST SURGERY","SUP-ITM-10092309","CDM","L8614","HCPCS","0278","RC","","","","both","","","5960.50","4470.37","AETNA [1001]","HB MEE AETNA","3051.78","51.2","","19058.08","16662.77","77730.08","1 through 10","3051.78","36929.73","percent of total billed charges",""
"ABUTMENT TITANIUM 6MM 4 IMPLANT COCHLEAR BIA300 XSEC BAHA FAST SURGERY","SUP-ITM-10092309","CDM","L8614","HCPCS","0278","RC","","","","both","","","5960.50","4470.37","INTERNATIONAL COMMERCIAL [140001]","HB AMC / MEE / PCC / ONE TEAM HEALTH INTERNATIONAL","3874.33","65","","25262.28","25262.28","25262.28","1 through 10","3051.78","36929.73","percent of total billed charges",""
"ABUTMENT TITANIUM 6MM 4 IMPLANT COCHLEAR BIA300 XSEC BAHA FAST SURGERY","SUP-ITM-10092309","CDM","L8614","HCPCS","0278","RC","","","","both","","","5960.50","4470.37","UNITED HEALTHCARE [1016]","HB MEE UNITED","4522.83","75.88","","38865.04","20270.17","38865.04","1 through 10","3051.78","36929.73","percent of total billed charges",""
"ABUTMENT TITANIUM 6MM 4 IMPLANT COCHLEAR BIA300 XSEC BAHA FAST SURGERY","SUP-ITM-10092309","CDM","L8614","HCPCS","0278","RC","","","","both","","","5960.50","4470.37","WELLPOINT [1015]","HB MEE WELLPOINT","4174.73","70.04","","6154.03","6154.03","6154.03","1 through 10","3051.78","36929.73","percent of total billed charges",""
"ABUTMENT XSEC 6MM 3 IMPLANT COCHLEAR BIA300 BAHA FAST SURGERY TITANIUM","SUP-ITM-10092308","CDM","L8690","HCPCS","0278","RC","","","","both","","","5960.50","4470.37","AETNA [1001]","HB MEE AETNA","3051.78","51.2","","3013.31","3013.31","3013.31","1 through 10","3051.78","4522.83","percent of total billed charges",""
"ABUTMENT XSEC 6MM 3 IMPLANT COCHLEAR BIA300 BAHA FAST SURGERY TITANIUM","SUP-ITM-10092308","CDM","L8690","HCPCS","0278","RC","","","","both","","","5960.50","4470.37","UNITED HEALTHCARE [1016]","HB MEE UNITED","4522.83","75.88","","2376.95","2376.95","2376.95","1 through 10","3051.78","4522.83","percent of total billed charges",""
"ABUTMENT XSEC 6MM 3 IMPLANT COCHLEAR BIA300 BAHA FAST SURGERY TITANIUM","SUP-ITM-10092308","CDM","L8690","HCPCS","0278","RC","","","","both","","","5960.50","4470.37","WELLPOINT [1015]","HB MEE WELLPOINT","4174.73","70.04","","4010.58","2649.79","4010.58","1 through 10","3051.78","4522.83","percent of total billed charges",""
"Acetylcholine Receptor Binding Antibody","PX-30003820","CDM","86041","CPT","0302","RC","","","","both","","","163.00","122.25","AETNA [1001]","HB MEE AETNA","83.46","51.2","","76.63","76.63","76.63","1 through 10","18.4","118.99","percent of total billed charges",""
"Acetylcholine Receptor Binding Antibody","PX-30003820","CDM","86041","CPT","0302","RC","","","","both","","","163.00","122.25","HARVARD PILGRIM [120001]","HB MEE HARVARD PILGRIM","107.42","65.9","","57.04","28.34","85.56","1 through 10","18.4","118.99","percent of total billed charges",""
"Acetylcholine Receptor Binding Antibody","PX-30003820","CDM","86041","CPT","0302","RC","","","","both","","","163.00","122.25","HARVARD PILGRIM ALTERNATE [120002]","HB MEE HARVARD PILGRIM","107.42","65.9","","28.34","28.34","28.34","1 through 10","18.4","118.99","percent of total billed charges",""
"Acetylcholine Receptor Binding Antibody","PX-30003820","CDM","86041","CPT","0302","RC","","","","outpatient","","","163.00","122.25","CIGNA [1006]","HB MEE CIGNA","126.33","77.5","","119.78","119.76","119.78","1 through 10","46.11","941.1","percent of total billed charges",""
"Acetylcholine Receptor Blocking Antibody","PX-30003821","CDM","86042","CPT","0302","RC","","","","both","","","163.00","122.25","AETNA [1001]","HB MEE AETNA","83.46","51.2","","76.63","76.63","76.63","1 through 10","18.4","118.99","percent of total billed charges",""
"Acetylcholine Receptor Blocking Antibody","PX-30003821","CDM","86042","CPT","0302","RC","","","","both","","","163.00","122.25","HARVARD PILGRIM [120001]","HB MEE HARVARD PILGRIM","107.42","65.9","","57.04","28.52","85.56","1 through 10","18.4","118.99","percent of total billed charges",""
"Acetylcholine Receptor Blocking Antibody","PX-30003821","CDM","86042","CPT","0302","RC","","","","outpatient","","","163.00","122.25","CIGNA [1006]","HB MEE CIGNA","126.33","77.5","","119.78","119.76","119.78","1 through 10","46.11","941.1","percent of total billed charges",""
"Acetylcholine Receptor Modulating Antibody","PX-30003822","CDM","86043","CPT","0302","RC","","","","both","","","106.00","79.50","AETNA [1001]","HB MEE AETNA","54.27","51.2","","49.96","49.96","49.96","1 through 10","12.05","77.87","percent of total billed charges",""
"Acetylcholine Receptor Modulating Antibody","PX-30003822","CDM","86043","CPT","0302","RC","","","","both","","","106.00","79.50","HARVARD PILGRIM [120001]","HB MEE HARVARD PILGRIM","69.85","65.9","","41.50","20.75","62.25","1 through 10","12.05","77.87","percent of total billed charges",""
"Acetylcholine Receptor Modulating Antibody","PX-30003822","CDM","86043","CPT","0302","RC","","","","both","","","106.00","79.50","HARVARD PILGRIM ALTERNATE [120002]","HB MEE HARVARD PILGRIM","69.85","65.9","","20.62","20.62","20.62","1 through 10","12.05","77.87","percent of total billed charges",""
"Acetylcholine Receptor Modulating Antibody","PX-30003822","CDM","86043","CPT","0302","RC","","","","outpatient","","","106.00","79.50","CIGNA [1006]","HB MEE CIGNA","82.15","77.5","","78.09","78.07","78.09","1 through 10","29.93","941.1","percent of total billed charges",""
"Actin Smooth Muscle Antibody Each","PX-30003761","CDM","86015","CPT","0302","RC","","","","both","","","102.00","76.50","HARVARD PILGRIM [120001]","HB MEE HARVARD PILGRIM","67.22","65.9","","20.06","20.06","20.06","1 through 10","12.05","77.87","percent of total billed charges",""
"ACTIVE NOBEL 4.3X10","SUP-ITM-10329113","CDM","C1713","HCPCS","0278","RC","","","","both","","","968.40","726.30","AETNA [1001]","HB MEE AETNA","495.82","51.2","","142.45","142.45","713.46","1 through 10","495.82","734.82","percent of total billed charges",""
"ACTIVE NOBEL 4.3X10","SUP-ITM-10329113","CDM","C1713","HCPCS","0278","RC","","","","both","","","968.40","726.30","UNITED HEALTHCARE [1016]","HB MEE UNITED","734.82","75.88","","119.44","119.44","119.44","1 through 10","495.82","734.82","percent of total billed charges",""
"ACTIVE NOBEL 4.3X10","SUP-ITM-10329113","CDM","C1713","HCPCS","0278","RC","","","","both","","","968.40","726.30","WELLPOINT [1015]","HB MEE WELLPOINT","678.27","70.04","","9789.71","733.30","9789.71","1 through 10","495.82","734.82","percent of total billed charges",""
"ACTIVE NOBEL 4.3X10","SUP-ITM-10329113","CDM","C1713","HCPCS","0278","RC","","","","outpatient","","","968.40","726.30","CIGNA [1006]","HB MEE CIGNA","750.51","77.5","","293.70","60.78","454.21","17","750.51","941.1","percent of total billed charges",""
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","","inpatient","","","12454.02","9340.51","HUMANA [1012]","HB MEE MEDICARE","11471.58","","Case rate ($11,471.58). If operating cost, defined as billed amount less exclusions * an operating cost-to-charge ratio of 0.466, exceeds $13,349.39, add-ons for qualifying new technology services are included. If operating cost exceeds $58,076.39 plus the cost of any qualifying new technology services, the stay qualifies for an operating outlier of 80% of the excess amount. If capital cost, defined as billed amount less exclusions * a capital cost-to-charge ratio of 0.035, exceeds $4,300.84, the stay qualifies for a capital outlier of 80% of the excess amount. For transfer cases, the transfer adjustment factor is defined as (length of stay + 1) / 2.8. The base transfer operating payment is the transfer adjustment factor * $7,941.84 + an uncompensated DSH payment of $2,585.84. The transfer operating threshold is the transfer adjustment factor * $10,763.55 + an uncompensated DSH payment of $2,585.84. If operating cost exceeds the transfer operating threshold, add-ons for qualifying new technology services are included. If operating cost exceeds the transfer operating threshold + the cost of any qualifying new technology services, the stay qualifies for a transfer operating outlier of 80% of the excess amount. The base transfer capital payment is the transfer adjustment factor * $943.91. The transfer capital threshold is the transfer adjustment factor * $943.91. If the capital cost exceeds the transfer capital threshold, the stay qualifies for a transfer capital outlier of 80% of the excess amount.","2868.62","2868.62","2868.62","1 through 10","10955.88","12873.46","other","Inpatient Replacement Plans DRG"
